Status Indicator,Create Date,Maintenance Date,Responsible IT Area,Impact Category,Purpose Group,Emergency / Time Senstive
,10/5/2017 13:52,10/19/2017,GIS,Minor,Preventive,
,10/5/2017 11:42,10/19/2017,Network Infrastructure,Major,Enhancement,
,10/5/2017 11:38,10/18/2017,Network Infrastructure,Major,Enhancement,
,9/29/2017 10:36,10/11/2017,"Desktop Engineering (Citrix, SCCM)",Minor,Enhancement,
Follow-up (See Status Notes),9/27/2017 10:53,9/28/2017,"Desktop Engineering (Citrix, SCCM)",Minor,Fix / Patch,
,8/15/2017 10:58,12/16/2017,ERP / SAP,,Preventive,
,8/15/2017 10:56,11/18/2017,ERP / SAP,,Preventive,
,8/15/2017 10:54,10/21/2017,ERP / SAP,,Preventive,
Completed,9/26/2017 9:19,9/30/2017,ERP / SAP,Significant,Fix / Patch,
Completed,9/1/2017 16:28,9/29/2017,Multi-Team (Indicate groups in Additional Information),,New Implementation,
Completed,9/25/2017 12:15,9/25/2017,Multi-Team (Indicate groups in Additional Information),Minor,Fix / Patch,
Completed,8/15/2017 10:53,9/23/2017,ERP / SAP,,Preventive,
Completed,9/12/2017 9:46,9/22/2017,Network Infrastructure,,Fix / Patch,
Completed,8/25/2017 11:49,9/22/2017,Network Infrastructure,,Enhancement,
Completed,9/21/2017 11:05,9/21/2017,"Desktop Engineering (Citrix, SCCM)",Major,Fix / Patch,
Completed,9/13/2017 9:49,9/21/2017,GIS,Minor,Preventive,
Completed,9/21/2017 11:05,9/20/2017,"Desktop Engineering (Citrix, SCCM)",Minor,Fix / Patch,
Completed,9/21/2017 11:05,9/20/2017,"Desktop Engineering (Citrix, SCCM)",Minor,Fix / Patch,
Completed,9/21/2017 11:05,9/20/2017,"Desktop Engineering (Citrix, SCCM)",Minor,Fix / Patch,
Completed,9/5/2017 16:19,9/18/2017,Multi-Team (Indicate groups in Additional Information),,Fix / Patch,
Completed,8/25/2017 11:44,9/15/2017,Network Infrastructure,,Enhancement,
Completed,7/21/2017 12:31,9/7/2017,Network Operations (Server / SAN),,Fix / Patch,
Completed,9/5/2017 15:11,9/5/2017,Multi-Team (Indicate groups in Additional Information),,Fix / Patch,TRUE
Completed,8/14/2017 12:20,8/31/2017,Network Operations (Server / SAN),,Fix / Patch,TRUE
Follow-up (See Status Notes),12/12/2016 15:17,8/31/2017,ERP / SAP,,Preventive,
Completed,8/15/2017 10:45,8/28/2017,Multi-Team (Indicate groups in Additional Information),,Fix / Patch,
Completed,8/15/2017 10:51,8/26/2017,ERP / SAP,,Preventive,
Completed,8/25/2017 11:40,8/25/2017,Network Infrastructure,,Enhancement,
Completed,7/19/2017 15:00,8/24/2017,GIS,,Fix / Patch,
Completed,6/2/2017 9:17,8/17/2017,Network Infrastructure,,Enhancement,
Completed,8/1/2017 16:13,8/16/2017,Multi-Team (Indicate groups in Additional Information),,Fix / Patch,
Completed,7/28/2017 15:26,8/16/2017,Network Infrastructure,,Security,
Completed,8/8/2017 10:31,8/11/2017,Network Infrastructure,,New Implementation,
Completed,7/21/2017 12:07,8/11/2017,Network Operations (Server / SAN),,Security,
Completed,8/1/2017 10:30,8/11/2017,ERP / SAP,,Preventive,
Completed,7/25/2017 16:24,8/10/2017,"Desktop Engineering (Citrix, SCCM)",,Security,
Completed,8/1/2017 16:05,8/9/2017,Multi-Team (Indicate groups in Additional Information),,Fix / Patch,
Completed,7/17/2017 14:46,8/9/2017,Multi-Team (Indicate groups in Additional Information),,Fix / Patch,
Completed,8/4/2017 8:28,8/4/2017,ERP / SAP,,Fix / Patch,TRUE
Completed,8/3/2017 15:01,8/3/2017,ERP / SAP,,Fix / Patch,TRUE
Completed,8/1/2017 15:17,8/3/2017,ERP / SAP,,Preventive,
Completed,7/26/2017 11:36,8/2/2017,Multi-Team (Indicate groups in Additional Information),,Fix / Patch,
Completed,7/26/2017 11:35,8/2/2017,Multi-Team (Indicate groups in Additional Information),,Fix / Patch,
Completed,7/5/2017 11:33,7/29/2017,ERP / SAP,,Preventive,
Completed,6/20/2017 13:56,7/29/2017,Multi-Team (Indicate groups in Additional Information),,Fix / Patch,
Completed,7/14/2017 15:32,7/28/2017,Network Operations (Server / SAN),,Enhancement,
Completed,7/12/2017 12:26,7/13/2017,Network Infrastructure,,Fix / Patch,TRUE
Completed,6/27/2017 10:43,7/13/2017,Network Operations (Server / SAN),,Security,
Completed,6/20/2017 14:07,7/12/2017,Multi-Team (Indicate groups in Additional Information),,Fix / Patch,
Completed,6/27/2017 13:53,7/11/2017,Network Operations (Server / SAN),,Enhancement,
Completed,6/20/2017 14:05,7/11/2017,Multi-Team (Indicate groups in Additional Information),,Fix / Patch,
Completed,7/6/2017 10:07,7/7/2017,Network Infrastructure,,Fix / Patch,TRUE
Completed,6/27/2017 12:01,7/7/2017,Network Infrastructure,,Enhancement,
Completed,6/27/2017 11:18,7/6/2017,Network Infrastructure,,Enhancement,
Completed,6/22/2017 13:15,7/6/2017,"Desktop Engineering (Citrix, SCCM)",,Enhancement,
Completed,7/6/2017 11:36,7/5/2017,Multi-Team (Indicate groups in Additional Information),,Fix / Patch,
Completed,6/28/2017 14:27,7/3/2017,Network Operations (Server / SAN),,Fix / Patch,
Completed,12/3/2016 19:29,6/30/2017,Network Operations (Server / SAN),,Fix / Patch,
Completed,6/26/2017 14:30,6/29/2017,Multi-Team (Indicate groups in Additional Information),,Fix / Patch,
Completed,6/14/2017 10:51,6/28/2017,Network Infrastructure,,Fix / Patch,
Completed,6/21/2017 12:39,6/27/2017,GIS,,Security,
Completed,6/20/2017 13:59,6/26/2017,Multi-Team (Indicate groups in Additional Information),,Fix / Patch,
Completed,6/21/2017 22:42,6/22/2017,Network Infrastructure,,Enhancement,
Completed,6/12/2017 16:28,6/22/2017,Network Infrastructure,,Enhancement,
Completed,1/30/2017 16:14,6/17/2017,ERP / SAP,,Preventive,
Completed,5/30/2017 11:42,6/17/2017,Network Operations (Server / SAN),,Fix / Patch,
Completed,6/8/2017 14:20,6/16/2017,ERP / SAP,,Enhancement,
Completed,6/6/2017 10:27,6/16/2017,ERP / SAP,,Enhancement,
Completed,6/6/2017 9:54,6/15/2017,Network Infrastructure,,Enhancement,
Completed,6/2/2017 11:15,6/12/2017,Network Operations (Server / SAN),,Enhancement,
Completed,6/2/2017 11:08,6/8/2017,Network Operations (Server / SAN),,Enhancement,
Completed,5/15/2017 15:30,6/2/2017,ERP / SAP,,Enhancement,
Completed,5/22/2017 16:34,5/30/2017,Network Operations (Server / SAN),,Security,
Completed,5/17/2017 10:26,5/25/2017,Network Operations (Server / SAN),,New Implementation,
Completed,3/31/2017 16:29,5/25/2017,Network Operations (Server / SAN),,Security,
Completed,1/30/2017 15:09,5/20/2017,ERP / SAP,,Preventive,
Completed,5/23/2017 9:18,5/18/2017,Network Operations (Server / SAN),,Security,
Completed,5/15/2017 15:01,5/18/2017,Network Operations (Server / SAN),,Fix / Patch,
Completed,5/12/2017 17:51,5/18/2017,Multi-Team (Indicate groups in Additional Information),,New Implementation,
Completed,5/16/2017 14:58,5/16/2017,Multi-Team (Indicate groups in Additional Information),,Fix / Patch,
Completed,5/5/2017 16:37,5/12/2017,Multi-Team (Indicate groups in Additional Information),,New Implementation,
Completed,5/9/2017 13:54,5/8/2017,Multi-Team (Indicate groups in Additional Information),,Fix / Patch,
Completed,4/14/2017 16:32,5/3/2017,Multi-Team (Indicate groups in Additional Information),,New Implementation,
Completed,4/14/2017 16:53,5/3/2017,Multi-Team (Indicate groups in Additional Information),,Fix / Patch,
