Priority,Status Indicator,Create Date,Created By,Requestor,Status Notes,Maintenance Date,Time of Maintenance,Description of Maintenance,User Impact (What's Affected?),Responsible IT Area,Impact Category,Purpose / Desired Result,Purpose Group,Point of Contact,Task Summary,Emergency / Time Senstive
Medium,,10/05/17 1:52 PM,web-form@smartsheet.com,Patrick Sendera,,10/19/17,5AM - 7AM,"Monthly updates on GIS1, GIS2, GISPUB, GISPUBINT, GISDBPRD1, IISMWRD",Listed servers will experience short disruptions between the hours of 5AM and 7AM,GIS,Minor,Patched servers,Preventive,Patrick Sendera,"1) Install updates
2) Reboot
3) Verify Apps
...

BACK OUT PLAN: 
....",
High,,10/05/17 11:42 AM,web-form@smartsheet.com,Thomas Muscarello,"Internal communications such as MWRDGC Voicemail, 5-digit dialing and Phone Directory will be available for all users.",10/19/17,430 pm - 3 hours,"Phone service to Kirie Plant will be upgraded from PRI services to SIP service from ATT.  
New SIP line will be tested. Once confirmed operational all Kirie DID #'s will be ported to new SIP circuit. 
Service interruption will start @ 4:30 pm Central on 10/19/17",KWRP Plant users will experience intermittent service issues during this period. Inbound and Outbound calling at the designated District facility will be limited during this time.,Network Infrastructure,Major,Upgrade ATT service to Kirie plant from PRI services to SIP services,Enhancement,Thomas Muscarello,"1) Test new circuit connectivity
2) Test inbound / outbound local & long distance calling with SIP test numbers
3) Test International calling with SIP test numbers
4) Test 411 with SIP test numbers
5) Test 911 with SIP test numbers
6) Test Toll free with SIP test numbers
7) if all tests are successfully we will port all DID #'s
8) Repeat steps 2-6 with multiple DID #'s on new SIP circuit.
...

BACK OUT PLAN: If any issues are discovered in steps 1-6 we will not port and remain on PRI service.  Cutover will be rescheduled.",
High,,10/05/17 11:38 AM,web-form@smartsheet.com,Thomas Muscarello,"Internal communications such as MWRDGC Voicemail, 5-digit dialing and Phone Directory will be available for all users.",10/18/17,5:00 pm - 3 hours,Phone service to Main Office Building Complex will be upgraded from PRI services to SIP service from ATT.  New SIP line will be tested. Once confirmed operational all MOB-C DID #'s will be ported to new SIP circuit. Service interruption will start @ 5:00 pm Central on 10/18/17,Main Office Building users will experience intermittent service issues during this period. Inbound and Outbound calling at the designated District facility will be limited during this time.,Network Infrastructure,Major,Transition dial tone from PRI services to SIP services.,Enhancement,Thomas Muscarello,"1) Test new circuit connectivity
2) Test inbound / outbound local & long distance calling with SIP test numbers
3) Test International calling with SIP test numbers
4) Test 411 with SIP test numbers
5) Test 911 with SIP test numbers
6) Test Toll free with SIP test numbers
7) if all tests are successfully we will port all DID #'s
8) Repeat steps 2-6 with multiple DID #'s on new SIP circuit.
...

BACK OUT PLAN: If any issues are discovered in steps 1-6 we will not port and remain on PRI service.  Cutover will be rescheduled.
....",
Medium,,09/29/17 10:36 AM,web-form@smartsheet.com,John Reichling,,10/11/17,Start time: 5:00 pm  - Duration: 1 hour,"Upgrade XenPrint021, XenPrint041, and XenPrint011 from Windows Server 2008 to Windows Server 2016 one server at a time each week.","XenPrint021 will not be available on 10/11/17 from 5:00 pm until 6:00 pm. The other 2 print serves will not be affected. For the following 2 weeks, replace XenPrint021 with XenPrint041 and XenPrint011 respectively.","Desktop Engineering (Citrix, SCCM)",Minor,Upgrade Windows 2008 print servers to Window 2016.,Enhancement,"Hussein Shamsuddin, Eric Eberhart","1) Shutdown XenPrint021
2) Rename XenPrint021t.mwrd.local to XenPrint021.mwrd.local and reboot.
3) Verify XenPrint021 DNS IP resolution is updated to reflect changes.
4) Test printing functionalities
5) Mark Old XenPrint021 VM for deletion after 1 week.

BACK OUT PLAN: 
Shutdown new Xenprint021 and power-up the old XenPrint021 and verify DNS IP address resolution.",
,Follow-up (See Status Notes),09/27/17 10:53 AM,reichlingj@mwrd.org,John Reichling,,09/28/17,9:00 am - 4:00 pm,Apply 1702 and 1706 updates to SCCM servers,"Increase support for Azure, O365, Windows 10","Desktop Engineering (Citrix, SCCM)",Minor,Stay Current and be on current release as we build Windows 10 standard image,Fix / Patch,John Reichling,"1. Snapshot All SCCM infrastructure
2. Apply SCCM current branch 1702 media to server, then online patch to 1706 release using remaining hours from Planet Technologies.",
,,08/15/17 10:58 AM,web-form@smartsheet.com,Kevin Young,,12/16/17,10:00pm - 11:00pm,Monthly SAP Production Server Reboots and Patching,"SAP, PBF and the District Website will be unavailable during this rebooting exercise.",ERP / SAP,,Compliance with recommended Windows Server reboots and Microsoft security patching,Preventive,Kevin Young,"""Server shutdown order
a. MWRDECCP0
b. MWRDECCP1
c. MWRDNBWP0
d. MWRDNDIP1
e. MWRDBOBP1
f. MWRDPBFP1
g. MWRDCEPP1
h. MWRDPRDDB
Server restart order
i. MWRDPRDDB
j. MWRDECCP0
k. MWRDECCP1
l. MWRDNBWP0
m. MWRDNDIP1
n. MWRDBOBP1
o. MWRDPBFP1
p. MWRDCEPP1
Server shutdown order
q. MWRDNEPP1
r. MWRDNEPP2
s. MWRDNEPP0
Server restart order
t. MWRDNEPP0
u. MWRDNEPP1
v. MWRDNEPP2

MWRDRDSP - patch and restart",
,,08/15/17 10:56 AM,web-form@smartsheet.com,Kevin Young,,11/18/17,10:00pm - 11:00pm,Monthly SAP Production Server Reboots and Patching,"SAP, PBF and the District Website will be unavailable during this rebooting exercise.",ERP / SAP,,Compliance with recommended Windows Server reboots and Microsoft security patching,Preventive,Kevin Young,"""Server shutdown order
a. MWRDECCP0
b. MWRDECCP1
c. MWRDNBWP0
d. MWRDNDIP1
e. MWRDBOBP1
f. MWRDPBFP1
g. MWRDCEPP1
h. MWRDPRDDB
Server restart order
i. MWRDPRDDB
j. MWRDECCP0
k. MWRDECCP1
l. MWRDNBWP0
m. MWRDNDIP1
n. MWRDBOBP1
o. MWRDPBFP1
p. MWRDCEPP1
Server shutdown order
q. MWRDNEPP1
r. MWRDNEPP2
s. MWRDNEPP0
Server restart order
t. MWRDNEPP0
u. MWRDNEPP1
v. MWRDNEPP2

MWRDRDSP - patch and restart",
,,08/15/17 10:54 AM,web-form@smartsheet.com,Kevin Young,,10/21/17,10:00pm - 11:00pm,Monthly SAP Production Server Reboots and Patching,"SAP, PBF and the District Website will be unavailable during this rebooting exercise.",ERP / SAP,,Compliance with recommended Windows Server reboots and Microsoft security patching,Preventive,Kevin Young,"""Server shutdown order
a. MWRDECCP0
b. MWRDECCP1
c. MWRDNBWP0
d. MWRDNDIP1
e. MWRDBOBP1
f. MWRDPBFP1
g. MWRDCEPP1
h. MWRDPRDDB
Server restart order
i. MWRDPRDDB
j. MWRDECCP0
k. MWRDECCP1
l. MWRDNBWP0
m. MWRDNDIP1
n. MWRDBOBP1
o. MWRDPBFP1
p. MWRDCEPP1
Server shutdown order
q. MWRDNEPP1
r. MWRDNEPP2
s. MWRDNEPP0
Server restart order
t. MWRDNEPP0
u. MWRDNEPP1
v. MWRDNEPP2

MWRDRDSP - patch and restart",
Low,Completed,09/26/17 9:19 AM,web-form@smartsheet.com,Kevin Young,,09/30/17,10:00 pm,Portal Production removal of index.html as a default page.,The District's website will be unavailable due to the system restart.,ERP / SAP,Significant,To assist in the migration to the new F5 by removing the .index.html page as a default page.,Fix / Patch,Kevin Young,Using the Visual Administrator; go into Server/Services/HTTP Provider/properties. Under InferNames remove index.html and index.htm from the possible selections.,
,Completed,09/01/17 4:28 PM,web-form@smartsheet.com,LaShun Osborn,,09/29/17,From 5pm on 9/29 -  5pm 10/1,Migrate data for PUBINFOSTORE and MWRDVIDEO servers to NAS appliance.,Data on PUBINFOSTORE and MWRDVIDEO systems will be unavailable.,Multi-Team (Indicate groups in Additional Information),,Migrate cold video archive data off enterprise shared storage to NAS device.,New Implementation,Ervin Cheng,"1) Take final backup of source systems.
2) Migrate data from source to destination systems.
3) Replicate between NAS systems.
4.) Rename/shut down source systems.
5.) Install NAS devices in final datacenter.
6.) Perform backup on destination device.
...

BACK OUT PLAN: 

1.) Online shares on source Windows systems.
....",
Medium,Completed,09/25/17 12:15 PM,web-form@smartsheet.com,M&R,,09/25/17,12:00 PM,reboot LIMS production server,LIMS will be unavailable for about 3-4 minutes while restarting,Multi-Team (Indicate groups in Additional Information),Minor,"LIMS background stalled, all attempts to restart were unsucceful",Fix / Patch,Roger Smith,"1) notify users
2) reboot server
3) verify LIMS is back up and background is working
...

BACK OUT PLAN: 
....",
,Completed,08/15/17 10:53 AM,web-form@smartsheet.com,Kevin Young,,09/23/17,10:00pm - 11:00pm,Monthly SAP Production Server Reboots and Patching,"SAP, PBF and the District Website will be unavailable during this rebooting exercise.",ERP / SAP,,Compliance with recommended Windows Server reboots and Microsoft security patching,Preventive,Kevin Young,"""Server shutdown order
a. MWRDECCP0
b. MWRDECCP1
c. MWRDNBWP0
d. MWRDNDIP1
e. MWRDBOBP1
f. MWRDPBFP1
g. MWRDCEPP1
h. MWRDPRDDB
Server restart order
i. MWRDPRDDB
j. MWRDECCP0
k. MWRDECCP1
l. MWRDNBWP0
m. MWRDNDIP1
n. MWRDBOBP1
o. MWRDPBFP1
p. MWRDCEPP1
Server shutdown order
q. MWRDNEPP1
r. MWRDNEPP2
s. MWRDNEPP0
Server restart order
t. MWRDNEPP0
u. MWRDNEPP1
v. MWRDNEPP2

MWRDRDSP - patch and restart",
,Completed,09/12/17 9:46 AM,web-form@smartsheet.com,Ethan Warren,Ethan to send out District wide notice about possible intermittent internet access,09/22/17,5:00 pm,Cabling issue needs to be corrected so ASA failover operations can function normally.,Little to no impact with internet access for users through MOB and public access to mwrd.org.,Network Infrastructure,,Return failover capabilities to normal state.,Fix / Patch,Ethan Warren,"1) Move ASA failover connections to correct VLAN on connecting switch.
2) Test failover for proper functionality.
3)",
,Completed,08/25/17 11:49 AM,web-form@smartsheet.com,Kevin Pendergast,,09/22/17,5pm Friday until 8pm Saturday,Data switches and cabinets/racks will be replaced in MOBA 3 floor.,No data network connectivity for MOBA 3rd floor.,Network Infrastructure,,Upgrade older network equipment for enhanced throughput and reliability to administrative data network users.,Enhancement,Kevin Pendergast,"1) Remove old data cabinets and switches from telecom closet.
2) Install new data rack and switches.
3) Connect to new fiber, power equipment and verify connectivity.
4) Patch user connections to new switches.
5) Verify connectivity.",
Immediate,Completed,09/21/17 11:05 AM,reichlingj@mwrd.org,John Reichling,"The update to the GPO was applied.  The GPO updated was ""forced"" which appears to not have been a good choice because a few users reported a command window pop up screen that informed them that they should logoff in order to apply the policy correctly.  This resulted in a few additional incidents being reported to the SD. (2) that I know of at the time of writting.",09/21/17,10:25 am,"Update MWRD-Workstations GPO.  The ""Point and Print"" policy needed to be modified from ""Disabled"" to ""enabled"" along with specification to specifically not prompt for elevated security rights when installing/updating a network printer &/or print driver.",ALL mwrd-workstations ( ~1200 ),"Desktop Engineering (Citrix, SCCM)",Major,Prevent users from experiencing failure to print  to network devices.  Thus far 50+ incidents were reported within 2 business days.  By updating the GPO we avoided most of our users from experiencing the printing problem.,Fix / Patch,John Reichling,"Prior to our change 

“Point and Print policy was set to <Disabled>”

After our change 
“Point and Print policy was set to <Enabled>”

And the security prompts were set to:

“When installing drivers for a new connection: <DO NOT SHOW WARNING OR ELEVATION PROMPT>”
“When installing drivers for an existing connection: <DO NOT SHOW WARNING OR ELEVATION PROMPT>”",
Medium,Completed,09/13/17 9:49 AM,web-form@smartsheet.com,Patrick Sendera,,09/21/17,5AM,September Server Patches,All GIS internal and public systems as well as IISMWRD (District phone list) will experience briefs outages,GIS,Minor,Apply Sept patches,Preventive,Patrick Sendera,"1) Apply patches to the following servers:
GIS01
GIS02
GISPUBINT
GISPUB
GISDBPRD1
IISMWRD

2) Reboot
3) Verify Applications
...

BACK OUT PLAN: 
....",
Immediate,Completed,09/21/17 11:05 AM,reichlingj@mwrd.org,John Reichling,Did not solve the problem,09/20/17,4:30 pm - 5:30 pm,Apply 183 MS patches to XENPRINT011,Network print queues on xenprint011,"Desktop Engineering (Citrix, SCCM)",Minor,to restore ability of users to update print drivers without requiring elevated credentials.  MS patch documentation indicated that print servers based on Windows Server 2008 R2 required a patch released in 2014.,Fix / Patch,John Reichling,Apply MS patches pending installation,
Immediate,Completed,09/21/17 11:05 AM,reichlingj@mwrd.org,John Reichling,Did not solve the problem,09/20/17,4:30 pm - 5:30 pm,Apply 183 MS patches to XENPRINT021,Network print queues on xenprint021,"Desktop Engineering (Citrix, SCCM)",Minor,to restore ability of users to update print drivers without requiring elevated credentials.  MS patch documentation indicated that print servers based on Windows Server 2008 R2 required a patch released in 2014.,Fix / Patch,John Reichling,Apply MS patches pending installation,
