Create Date,Status Indicator,Outage Start Date,Outage End Date,Description of Outage,IT Area,Impact Category
10/3/2017 11:06,Follow-up,10/2/2017,10/3/2017,"Automatic interpretation and transfer to Verify, automatic transfer to Readsoft Process Director not working.",ERP / SAP,Major
10/3/2017 10:47,Follow-up,9/28/2017,9/28/2017,"End users called when none of their newly scanned invoices were getting into SAP. Windows logs show this error:

Faulting application name: eiitrp.exe, version: 5.8.16168.110, time stamp: 0x5762601c
Faulting module name: MSVCR120.dll, version: 12.0.21005.1, time stamp: 0x524f7ce6
Exception code: 0xc0000409
Fault offset: 0x000a7666
Faulting process id: 0x8544
Faulting application start time: 0x01d33889d465efdb
Faulting application path: E:\Program Files (x86)\ReadSoft\INVOICES\Bin\eiitrp.exe
Faulting module path: C:\Windows\SYSTEM32\MSVCR120.dll
Report Id: 12edd495-a47d-11e7-80d4-005056843318
Faulting package full name: 
Faulting package-relative application ID:

This error would repeat every time the transfer app would run. 

Determined a large document in image import might have initially caused the problem; this DLL might have been removed or altered in memory to prevent further damage and was not able to be re-intialized in this session of windows.",ERP / SAP,Major
10/3/2017 9:32,Reviewed,9/30/2017,10/2/2017,"After removing index.html and index.htm from the 2 portal servers; MWRDNEPP1 and MWRDNEPP2, the District's website to the outside was up and down depending on which server the user was connected to.",ERP / SAP,Significant
10/2/2017 10:46,Reviewed,10/2/2017,10/2/2017,Between 8:48am and 9:52am users could not use the Local Sewers application. (LSS),Multi-Team (Indicate groups in Additional Information),Major
9/29/2017 16:03,Reviewed,9/29/2017,9/29/2017,"During the AT&T DDoS readiness test, public access to mwrd.org was blocked during mitigation of the simulated attack. Network team was told by the mitigation team the blocking of access to the IP address had been cleared, which was not true.",Network Infrastructure,Significant
9/19/2017 15:26,Follow-up,9/18/2017,9/19/2017,End-users on PCs are getting prompted to install drivers and admin credentials for printers that they previously installed.,Multi-Team (Indicate groups in Additional Information),Significant
9/14/2017 10:25,Follow-up,9/14/2017,9/14/2017,One server in the Farm couldn't reestablish users connection from the previous day.,"Desktop Engineering (Citrix, SCCM)",Minor
9/5/2017 11:16,Reviewed,9/1/2017,9/5/2017,"Law Dept's Real Estate application, IRIES, was issuing an error message on some of the functionality.",GIS,
9/5/2017 10:00,Reviewed,8/30/2017,8/30/2017,"Email from Tom Rainey...

""Ethan, when the power went out I spoke to one of the contractor’s (Intren, Inc.) workers who were working on the power line and he said that this was a planned outage.  He said the MWRD was notified – however I did not receive any notification, so I’m not sure who was informed.""",Network Infrastructure,
8/29/2017 11:12,Follow-up,8/25/2017,8/25/2017,Website unavailable fro login,All MWRD employees,
